pp@cat_encoder,pp@decomposition,pp@featureselector,pp@scaler,pp@feature_map_size,pp@featuregen,pp@kernel_mapper_kernel,pp@projection_features,pp@selectp_percentile,pp@std_with_std,pp@kernel_mapper_coef0,pp@kernel_mapper_degree,pp@kernel_mapper_gamma,pp@poly_degree,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_alpha,reg_lambda,subsample
onehot,lda,selectp,none,,none,,0.6354013406138,68,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,agglomerator,none,none,,none,,0.4679569110842,,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,ka_nystroem,none,none,871,none,poly,,,,81.7453263618166,2.0,1.1459074e-06,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,agglomerator,selectp,minmax,,poly,,0.6134413488188,12,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,ka_nystroem,selectp,std,517,none,rbf,,82,True,,,230.106016218144,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,kernel_pca,none,minmax,,none,rbf,0.3444624582696,,,,,0.0005360145542,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,kernel_pca,none,minmax,,none,rbf,0.3102202922374,,,,,14595.13544409359,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,ka_nystroem,none,std,30,none,rbf,,,True,,,16.5770771670761,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,pca,none,std,,none,,,,True,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,lda,selectp,std,,poly,,0.2380025291458,92,True,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,agglomerator,selectp,minmax,,none,,0.0668959266695,93,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,ka_rbf,none,none,204,none,,,,,,,10780.46900805724,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,lda,none,minmax,,poly,,0.4812431264794,,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,none,none,minmax,,poly,,,,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,ka_rbf,none,std,535,none,,,,True,,,0.0091132787445,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,fastica,selectp,minmax,,none,,0.0439034500549,64,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,ka_rbf,none,none,812,none,,,,,,,180767.69559472767,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,ka_rbf,none,none,469,none,,,,,,,0.0004074269235,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,ka_rbf,none,minmax,696,none,,,,,,,3.3464794e-06,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,lda,selectp,std,,none,,0.2732711832015,21,True,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,lda,selectp,minmax,,poly,,0.1539812473713,24,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,none,selectp,none,,none,,,35,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,none,none,none,,none,,,,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,pca,selectp,minmax,,none,,,66,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,ka_rbf,selectp,none,641,none,,,23,,,,258956.6143979732,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,fastica,none,minmax,,none,,0.662018029686,,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,fastica,selectp,none,,poly,,0.9311241008563,58,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,ka_rbf,selectp,none,711,none,,,46,,,,0.3475737893698,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,ka_rbf,selectp,minmax,979,none,,,40,,,,2.10363702e-05,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,ka_rbf,none,minmax,599,none,,,,,,,420975.5095799897,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,none,none,std,,poly,,,,False,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,ka_nystroem,selectp,none,768,none,sigmoid,,18,,90.0367451604226,5.0,6128.182395368884,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,none,selectp,minmax,,poly,,,53,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,none,none,none,,none,,,,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,ka_nystroem,selectp,std,90,none,cosine,,9,False,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,ka_nystroem,none,minmax,718,none,cosine,,,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,agglomerator,none,std,,none,,0.1628457037184,,True,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,lda,none,minmax,,none,,0.4464390246778,,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,fastica,selectp,none,,none,,0.5569159458828,83,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,fastica,selectp,minmax,,poly,,0.2355920065835,11,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,kernel_pca,selectp,std,,none,sigmoid,0.2348850260554,63,False,22.1824030509996,2.0,0.0008019707419,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,kernel_pca,selectp,minmax,,none,rbf,0.2742763438161,30,,,,0.0010082642762,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,lda,selectp,std,,poly,,0.8980869070537,12,False,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,lda,none,minmax,,poly,,0.5689809378926,,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,ka_nystroem,selectp,std,505,none,rbf,,72,True,,,0.028545472808,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,fastica,none,none,,none,,0.2129612994071,,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,ka_rbf,none,minmax,809,none,,,,,,,97221.90546974298,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,kernel_pca,selectp,none,,none,rbf,0.3793748251389,43,,,,1.38510035e-05,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,ka_rbf,none,minmax,378,none,,,,,,,0.6596357360476,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,pca,selectp,minmax,,none,,,72,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,fastica,none,std,,poly,,0.3448985779785,,False,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,pca,none,none,,none,,,,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,lda,selectp,none,,poly,,0.8677940827945,26,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,none,selectp,minmax,,poly,,,46,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,lda,selectp,std,,poly,,0.0275909917349,4,True,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,kernel_pca,selectp,std,,none,rbf,0.9585642592672,85,False,,,5956.915883638541,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,ka_nystroem,none,none,641,none,poly,,,,97.9270240035818,5.0,705667.3491589626,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,ka_rbf,selectp,none,680,none,,,38,,,,2814.616980112367,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,pca,selectp,std,,none,,,34,True,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,ka_nystroem,none,none,483,none,poly,,,,55.5937688808607,2.0,11.5257743966918,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,ka_nystroem,none,minmax,194,none,poly,,,,74.1603107152324,2.0,7.5676488336145,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,ka_rbf,selectp,minmax,561,none,,,8,,,,3.92175e-06,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,ka_nystroem,none,none,215,none,rbf,,,,,,0.0420241278008,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,none,selectp,minmax,,poly,,,38,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,none,none,std,,poly,,,,True,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,lda,selectp,none,,poly,,0.2599484666201,99,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,agglomerator,none,minmax,,none,,0.6525412775987,,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,ka_rbf,selectp,none,232,none,,,46,,,,0.0191276217302,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,fastica,none,std,,poly,,0.0521897737291,,True,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,pca,selectp,minmax,,none,,,34,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,agglomerator,selectp,std,,none,,0.6467667884548,98,False,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,none,selectp,none,,poly,,,66,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,none,selectp,none,,poly,,,74,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,agglomerator,selectp,minmax,,poly,,0.2286160412693,88,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,ka_rbf,selectp,std,435,none,,,69,True,,,1.0244481e-05,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,agglomerator,none,none,,poly,,0.7622745085277,,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,agglomerator,selectp,std,,none,,0.7947911804691,7,True,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,kernel_pca,none,std,,none,cosine,0.5548343544773,,True,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,pca,selectp,minmax,,none,,,61,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,pca,none,std,,none,,,,False,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,ka_nystroem,selectp,none,123,none,poly,,62,,19.3990797600197,3.0,1.92535624e-05,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,none,none,none,,poly,,,,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,agglomerator,selectp,minmax,,poly,,0.8711495905015,75,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,agglomerator,none,std,,poly,,0.2134441352447,,False,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,lda,selectp,minmax,,poly,,0.6554927310719,47,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,agglomerator,selectp,none,,none,,0.5093424603205,96,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,ka_rbf,none,minmax,522,none,,,,,,,231228.2140651979,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,lda,selectp,none,,poly,,0.3246941188262,14,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,ka_nystroem,selectp,std,330,none,sigmoid,,70,False,12.1879175649133,3.0,0.0019529502725,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,none,selectp,std,,poly,,,46,True,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,pca,selectp,std,,none,,,8,True,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,fastica,selectp,none,,poly,,0.6600390487128,42,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,agglomerator,selectp,minmax,,poly,,0.3801021635666,17,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,pca,none,minmax,,none,,,,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,agglomerator,none,std,,none,,0.4212410079344,,True,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,fastica,selectp,minmax,,poly,,0.5131886612957,36,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,agglomerator,none,none,,poly,,0.7895918143891,,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,pca,selectp,none,,none,,,82,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,lda,selectp,none,,none,,0.9665589237729,38,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,ka_rbf,selectp,none,961,none,,,2,,,,1.46440863e-05,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,ka_rbf,selectp,minmax,880,none,,,82,,,,7.11805539e-05,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,ka_rbf,selectp,none,912,none,,,31,,,,3624.159533035656,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,kernel_pca,selectp,minmax,,none,sigmoid,0.3949621225548,35,,69.0653543591185,4.0,0.0093149358915,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,lda,selectp,std,,poly,,0.5842794615403,4,False,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,agglomerator,selectp,minmax,,poly,,0.6966558233876,34,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,none,none,none,,poly,,,,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,pca,none,minmax,,none,,,,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,ka_rbf,none,std,370,none,,,,True,,,1.576833866849,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,none,none,std,,none,,,,True,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,agglomerator,selectp,std,,poly,,0.9188243580188,57,True,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,lda,none,minmax,,poly,,0.8013125853093,,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,agglomerator,none,none,,none,,0.2113230578289,,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,ka_rbf,none,none,301,none,,,,,,,1577.644731846946,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,pca,none,minmax,,none,,,,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,fastica,selectp,none,,poly,,0.359506026543,55,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,ka_nystroem,selectp,none,258,none,poly,,86,,71.9316568236434,4.0,0.0063973289838,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,kernel_pca,none,minmax,,none,cosine,0.5796426455443,,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,ka_rbf,selectp,std,257,none,,,93,True,,,0.2445538533763,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,lda,selectp,none,,poly,,0.7555119661683,66,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,lda,none,std,,poly,,0.0158793661462,,True,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,kernel_pca,selectp,none,,none,cosine,0.4402861991471,39,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,lda,none,std,,none,,0.3442055615756,,True,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,ka_nystroem,selectp,std,939,none,poly,,80,True,79.0772849982902,2.0,0.0191620202864,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,pca,none,none,,none,,,,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,pca,selectp,none,,none,,,26,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,agglomerator,none,minmax,,none,,0.1664791362652,,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,lda,none,none,,poly,,0.6684308079006,,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,ka_nystroem,none,none,507,none,sigmoid,,,,33.1602145667131,5.0,120.8646881641084,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,agglomerator,selectp,minmax,,poly,,0.592319759308,92,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,pca,none,std,,none,,,,True,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,lda,selectp,minmax,,poly,,0.5044668742155,34,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,agglomerator,selectp,std,,none,,0.1449294117467,79,True,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,agglomerator,selectp,minmax,,poly,,0.6894281497674,9,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,ka_rbf,selectp,none,690,none,,,69,,,,62.2484830251128,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,lda,selectp,none,,poly,,0.59451726028,47,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,ka_nystroem,selectp,std,885,none,poly,,86,True,26.6461276179383,5.0,493328.935772899,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,fastica,none,none,,none,,0.939704752454,,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,ka_nystroem,none,std,650,none,poly,,,True,76.0941887174456,3.0,3.4689081261464,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,ka_nystroem,none,minmax,25,none,poly,,,,6.7746220550396,5.0,1.1126522848173,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,kernel_pca,selectp,none,,none,cosine,0.1625759976835,15,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,pca,selectp,std,,none,,,1,False,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,kernel_pca,selectp,minmax,,none,poly,0.5970168562421,51,,94.2435620587473,4.0,1.19990285e-05,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,agglomerator,none,none,,poly,,0.6163009966058,,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,ka_rbf,selectp,none,567,none,,,51,,,,0.0001617291706,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,fastica,selectp,std,,poly,,0.4943332443178,10,False,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,ka_nystroem,none,none,719,none,cosine,,,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.4583267320614,0.0008794000507,0.0099522756176,21,3.1407457934035,0.0067059643006,0.2294895280362,0.9790454368426
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.7352669610212,0.0099288792291,0.0183188842808,3,0.0247657221797,4.4407756e-06,0.4007542985643,0.638971389406
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.4806984923068,0.0547352013772,0.0020792466308,4,0.0416542371137,0.0004376400291,0.368544811694,0.6405339699738
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.7750862493312,1.34027947e-05,0.0151380372974,5,0.0261274649307,1.8782256010933,0.4750049120062,0.7350262000816
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.9563134327283,0.2725032359749,0.0064846029846,10,4.58176893e-05,0.0686101691944,1.5116477944352,0.9738516468626
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.4795972319973,8.9863389455484,0.0122465579437,6,2.4349522e-05,0.0638324975149,0.0001243507783,0.9005068460792
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.8416829409846,5.57674964e-05,4.2015423e-06,4,0.0038247294789,0.6469169388748,0.7140493831322,0.6355928162546
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.7593109054127,0.0163848844826,0.0350449340769,7,0.0004725041942,0.039434806454,0.9345573239959,0.6157926781746
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.5797097431762,53.2454704633249,0.0008825432802,8,6.41967319e-05,0.2203824302628,0.0121399243286,0.5993083750422
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.7944292890401,0.1067049091088,1.3573489e-05,29,0.0230416324075,0.0003366965162,0.0154030318426,0.7148627498089
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.4957714522238,5.34512e-06,7.40098211e-05,13,2.6655925145305,0.0003321417723,0.0001816720882,0.9039528390525
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.5095652686046,1.0888008500764,0.0052869042411,3,0.0151217143565,1.0722257648338,0.0496800920763,0.5761511029843
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.5803443849257,0.0092162287168,0.6073619038349,16,6.3619872666016,0.0592911874205,0.0062625988229,0.8085298396319
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.596590902094,7.4887086e-06,1.34426865e-05,31,0.2396922760584,0.0009327662125,0.0900781506628,0.7361451931448
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.6866011802248,0.0105045298435,0.2353717794336,3,5.7268632744895,0.0012160825413,9.2745711e-06,0.8231604049436
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.5683669819767,0.7862063970686,0.0075971845874,3,3.26489532e-05,1.2721515e-06,0.1357602957388,0.7017425990887
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.8988386328527,8.2116544e-06,0.0009657819815,2,0.0255887615923,2.8025814e-05,0.036145087176,0.879911105594
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.7430571748372,0.0006039461198,0.0001664069541,4,0.0004591025472,0.0009325867144,0.0027543412656,0.6605037636809
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.9397363490278,4.397448e-06,8.3879685e-06,14,0.3816087870526,7.0996129e-05,4.32993667e-05,0.861083696648
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.5846023146351,0.0025764924822,6.33938449e-05,3,11.6993935240857,0.6586206180947,0.0073932692218,0.6803174968259
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.9192926086825,0.0940010600057,3.5993678e-06,7,13.5951025923512,1.19382e-06,7.8674789e-06,0.9206400331741
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.6248776042522,37.3453743111865,0.0002221417012,10,1.6217098087304,9.413666e-06,0.0002387066455,0.9865231211341
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.7810678164533,2.0704876e-06,0.0001170123602,6,0.0004084950745,0.0205373748794,0.333972136903,0.922540835308
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.8114537905298,0.0069137542296,3.4490837e-06,12,1.586887e-06,0.0004208885284,1.06902117e-05,0.5811141953868
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.6516843692328,2.3035356039492,0.0002286292393,8,14.4031015315048,0.1851133870672,2.0037223e-06,0.6727546492245
