pp@cat_encoder,pp@decomposition,pp@featureselector,pp@scaler,pp@feature_map_size,pp@featuregen,pp@kernel_mapper_kernel,pp@projection_features,pp@selectp_percentile,pp@std_with_std,pp@kernel_mapper_coef0,pp@kernel_mapper_degree,pp@kernel_mapper_gamma,pp@poly_degree,metric,n_neighbors,weights,p
ordinal,lda,selectp,std,,none,,0.9218489983621,79,True,,,,,minkowski,5,uniform,2.0
none,ka_nystroem,selectp,none,499,none,cosine,,39,,,,,,minkowski,5,uniform,2.0
none,none,selectp,std,,poly,,,12,False,,,,2,minkowski,5,uniform,2.0
onehot,fastica,selectp,minmax,,poly,,0.9769943357334,75,,,,,2,minkowski,5,uniform,2.0
ordinal,agglomerator,selectp,std,,poly,,0.1358162288182,90,True,,,,2,minkowski,5,uniform,2.0
onehot,pca,selectp,std,,none,,,33,True,,,,,minkowski,5,uniform,2.0
onehot,pca,selectp,none,,none,,,51,,,,,,minkowski,5,uniform,2.0
onehot,ka_rbf,selectp,minmax,956,none,,,41,,,,2.32664036e-05,,minkowski,5,uniform,2.0
none,fastica,none,minmax,,none,,0.2599484666201,,,,,,,minkowski,5,uniform,2.0
none,ka_nystroem,none,none,828,none,sigmoid,,,,72.8473965541015,3.0,238.4495507187372,,minkowski,5,uniform,2.0
ordinal,ka_nystroem,none,minmax,143,none,cosine,,,,,,,,minkowski,5,uniform,2.0
none,ka_nystroem,none,minmax,433,none,cosine,,,,,,,,minkowski,5,uniform,2.0
none,none,none,std,,poly,,,,True,,,,2,minkowski,5,uniform,2.0
ordinal,kernel_pca,none,none,,none,cosine,0.6467667884548,,,,,,,minkowski,5,uniform,2.0
onehot,lda,none,minmax,,none,,0.5747191764844,,,,,,,minkowski,5,uniform,2.0
ordinal,agglomerator,selectp,none,,poly,,0.28094077344,64,,,,,2,minkowski,5,uniform,2.0
ordinal,fastica,none,std,,none,,0.2286160412693,,False,,,,,minkowski,5,uniform,2.0
none,pca,selectp,minmax,,none,,,50,,,,,,minkowski,5,uniform,2.0
ordinal,ka_nystroem,none,none,966,none,sigmoid,,,,30.7874097960023,3.0,0.0203834687482,,minkowski,5,uniform,2.0
ordinal,kernel_pca,selectp,minmax,,none,rbf,0.7947911804691,64,,,,25.0854168749709,,minkowski,5,uniform,2.0
none,lda,none,none,,poly,,0.5548343544773,,,,,,2,minkowski,5,uniform,2.0
ordinal,fastica,selectp,std,,none,,0.5370023663239,92,False,,,,,minkowski,5,uniform,2.0
onehot,pca,selectp,std,,none,,,84,False,,,,,minkowski,5,uniform,2.0
none,ka_nystroem,none,minmax,88,none,rbf,,,,,,2.1470288e-06,,minkowski,5,uniform,2.0
onehot,none,selectp,minmax,,none,,,27,,,,,,minkowski,5,uniform,2.0
ordinal,fastica,selectp,none,,poly,,0.8711495905015,74,,,,,2,minkowski,5,uniform,2.0
onehot,ka_nystroem,none,minmax,542,none,sigmoid,,,,25.5264517092026,2.0,3128.8059352615596,,minkowski,5,uniform,2.0
onehot,pca,selectp,std,,none,,,96,False,,,,,minkowski,5,uniform,2.0
none,kernel_pca,none,std,,none,sigmoid,0.6559892029648,,True,20.6451411246315,5.0,0.5771566257822,,minkowski,5,uniform,2.0
onehot,fastica,none,std,,none,,0.5571194111863,,False,,,,,minkowski,5,uniform,2.0
onehot,agglomerator,none,minmax,,none,,0.2586881153595,,,,,,,minkowski,5,uniform,2.0
onehot,lda,selectp,none,,none,,0.3308117979914,57,,,,,,minkowski,5,uniform,2.0
ordinal,none,selectp,std,,poly,,,36,False,,,,2,minkowski,5,uniform,2.0
none,fastica,none,std,,poly,,0.1708262233631,,True,,,,2,minkowski,5,uniform,2.0
onehot,ka_rbf,none,minmax,469,none,,,,,,,0.0010144882867,,minkowski,5,uniform,2.0
onehot,fastica,selectp,minmax,,poly,,0.5180528691352,48,,,,,2,minkowski,5,uniform,2.0
none,ka_rbf,none,minmax,379,none,,,,,,,0.0043137771338,,minkowski,5,uniform,2.0
onehot,none,none,minmax,,none,,,,,,,,,minkowski,5,uniform,2.0
ordinal,ka_rbf,selectp,none,274,none,,,68,,,,0.0001086769363,,minkowski,5,uniform,2.0
none,kernel_pca,none,minmax,,none,rbf,0.5035482132073,,,,,8.19651255e-05,,minkowski,5,uniform,2.0
onehot,lda,selectp,none,,poly,,0.9286787801876,63,,,,,2,minkowski,5,uniform,2.0
ordinal,pca,selectp,none,,none,,,73,,,,,,minkowski,5,uniform,2.0
onehot,agglomerator,none,std,,poly,,0.2044104031995,,False,,,,2,minkowski,5,uniform,2.0
ordinal,kernel_pca,none,std,,none,cosine,0.0368074491334,,True,,,,,minkowski,5,uniform,2.0
onehot,pca,selectp,minmax,,none,,,98,,,,,,minkowski,5,uniform,2.0
ordinal,ka_nystroem,selectp,std,74,none,poly,,56,False,9.4122436085517,2.0,2.0080842e-06,,minkowski,5,uniform,2.0
onehot,ka_rbf,selectp,none,741,none,,,93,,,,0.0018138588156,,minkowski,5,uniform,2.0
ordinal,lda,none,minmax,,poly,,0.6500256841424,,,,,,2,minkowski,5,uniform,2.0
ordinal,kernel_pca,none,minmax,,none,cosine,0.4764946970368,,,,,,,minkowski,5,uniform,2.0
ordinal,fastica,selectp,minmax,,poly,,0.6616172538671,50,,,,,2,minkowski,5,uniform,2.0
ordinal,kernel_pca,none,minmax,,none,cosine,0.0107097899878,,,,,,,minkowski,5,uniform,2.0
ordinal,agglomerator,selectp,minmax,,poly,,0.8047063180078,67,,,,,2,minkowski,5,uniform,2.0
ordinal,fastica,selectp,none,,poly,,0.6175651072139,63,,,,,2,minkowski,5,uniform,2.0
ordinal,none,none,minmax,,poly,,,,,,,,2,minkowski,5,uniform,2.0
ordinal,kernel_pca,none,std,,none,rbf,0.3846193362163,,True,,,17093.614079837484,,minkowski,5,uniform,2.0
none,kernel_pca,none,none,,none,sigmoid,0.604924349595,,,10.7301031515505,4.0,0.0159376183754,,minkowski,5,uniform,2.0
onehot,fastica,none,std,,none,,0.4744781497677,,False,,,,,minkowski,5,uniform,2.0
none,kernel_pca,selectp,std,,none,cosine,0.7280630669562,32,False,,,,,minkowski,5,uniform,2.0
ordinal,agglomerator,selectp,std,,none,,0.1066830566445,11,False,,,,,minkowski,5,uniform,2.0
none,fastica,selectp,std,,poly,,0.1263166771963,21,True,,,,2,minkowski,5,uniform,2.0
none,none,selectp,minmax,,poly,,,15,,,,,2,minkowski,5,uniform,2.0
ordinal,kernel_pca,none,std,,none,poly,0.1143187840248,,True,70.3407030661473,4.0,634841.0745242073,,minkowski,5,uniform,2.0
onehot,ka_nystroem,none,minmax,815,none,poly,,,,35.3074960521609,5.0,1.0450447e-06,,minkowski,5,uniform,2.0
ordinal,pca,selectp,minmax,,none,,,30,,,,,,minkowski,5,uniform,2.0
ordinal,kernel_pca,none,std,,none,rbf,0.5287545348549,,False,,,2235.2799789743503,,minkowski,5,uniform,2.0
onehot,fastica,none,none,,none,,0.8872568350452,,,,,,,minkowski,5,uniform,2.0
onehot,fastica,selectp,std,,poly,,0.8646968168564,80,True,,,,2,minkowski,5,uniform,2.0
ordinal,pca,none,std,,none,,,,False,,,,,minkowski,5,uniform,2.0
ordinal,fastica,none,minmax,,poly,,0.7836756119383,,,,,,2,minkowski,5,uniform,2.0
onehot,ka_rbf,selectp,minmax,708,none,,,92,,,,16.723392289395,,minkowski,5,uniform,2.0
ordinal,fastica,none,minmax,,none,,0.7295825192119,,,,,,,minkowski,5,uniform,2.0
none,kernel_pca,selectp,std,,none,poly,0.4625781281635,74,True,66.5959918694057,4.0,0.0828494059722,,minkowski,5,uniform,2.0
onehot,fastica,selectp,none,,poly,,0.8041936198348,66,,,,,2,minkowski,5,uniform,2.0
onehot,pca,none,none,,none,,,,,,,,,minkowski,5,uniform,2.0
ordinal,kernel_pca,selectp,none,,none,rbf,0.8676286649609,88,,,,211802.49361283093,,minkowski,5,uniform,2.0
ordinal,fastica,selectp,none,,none,,0.9282148974609,71,,,,,,minkowski,5,uniform,2.0
none,none,none,minmax,,poly,,,,,,,,2,minkowski,5,uniform,2.0
onehot,ka_rbf,none,minmax,520,none,,,,,,,9.953533e-06,,minkowski,5,uniform,2.0
ordinal,agglomerator,none,minmax,,none,,0.1782356359424,,,,,,,minkowski,5,uniform,2.0
onehot,kernel_pca,selectp,std,,none,rbf,0.4358441641523,63,True,,,159026.93687377532,,minkowski,5,uniform,2.0
ordinal,pca,selectp,std,,none,,,70,True,,,,,minkowski,5,uniform,2.0
none,kernel_pca,selectp,minmax,,none,cosine,0.5358831715388,63,,,,,,minkowski,5,uniform,2.0
ordinal,lda,none,none,,poly,,0.4759408804375,,,,,,2,minkowski,5,uniform,2.0
onehot,pca,selectp,minmax,,none,,,77,,,,,,minkowski,5,uniform,2.0
ordinal,kernel_pca,selectp,minmax,,none,rbf,0.5464041748003,19,,,,975.4550912240974,,minkowski,5,uniform,2.0
onehot,none,none,std,,poly,,,,False,,,,2,minkowski,5,uniform,2.0
none,kernel_pca,selectp,minmax,,none,poly,0.6705411161124,2,,77.160280669435,2.0,2.39566339e-05,,minkowski,5,uniform,2.0
none,fastica,none,none,,poly,,0.5271662197743,,,,,,2,minkowski,5,uniform,2.0
onehot,ka_nystroem,none,none,596,none,cosine,,,,,,,,minkowski,5,uniform,2.0
none,fastica,none,minmax,,poly,,0.8131463105593,,,,,,2,minkowski,5,uniform,2.0
ordinal,none,none,std,,poly,,,,True,,,,2,minkowski,5,uniform,2.0
none,kernel_pca,selectp,minmax,,none,cosine,0.9026339316076,79,,,,,,minkowski,5,uniform,2.0
onehot,pca,selectp,none,,none,,,14,,,,,,minkowski,5,uniform,2.0
ordinal,none,selectp,none,,none,,,68,,,,,,minkowski,5,uniform,2.0
none,agglomerator,selectp,minmax,,poly,,0.3193858796025,18,,,,,2,minkowski,5,uniform,2.0
ordinal,kernel_pca,selectp,none,,none,cosine,0.1645372927815,6,,,,,,minkowski,5,uniform,2.0
none,lda,none,minmax,,none,,0.6549523901747,,,,,,,minkowski,5,uniform,2.0
none,fastica,selectp,none,,poly,,0.3437102515284,64,,,,,2,minkowski,5,uniform,2.0
onehot,none,none,std,,poly,,,,True,,,,2,minkowski,5,uniform,2.0
none,kernel_pca,selectp,none,,none,rbf,0.8508429717217,42,,,,95.9829586774692,,minkowski,5,uniform,2.0
onehot,lda,selectp,minmax,,none,,0.0321082461795,14,,,,,,minkowski,5,uniform,2.0
none,fastica,selectp,minmax,,none,,0.7963626179134,46,,,,,,minkowski,5,uniform,2.0
ordinal,lda,selectp,std,,none,,0.9250491660314,49,True,,,,,minkowski,5,uniform,2.0
none,ka_rbf,selectp,none,562,none,,,57,,,,14.0287906916399,,minkowski,5,uniform,2.0
ordinal,ka_nystroem,none,minmax,544,none,sigmoid,,,,83.6547180619198,2.0,0.6906739806195,,minkowski,5,uniform,2.0
onehot,none,none,none,,none,,,,,,,,,minkowski,5,uniform,2.0
none,kernel_pca,selectp,std,,none,sigmoid,0.1574851209804,87,True,54.6950061844564,5.0,6859.266346161706,,minkowski,5,uniform,2.0
ordinal,lda,selectp,minmax,,poly,,0.1315173669024,96,,,,,2,minkowski,5,uniform,2.0
none,ka_nystroem,none,std,624,none,sigmoid,,,True,96.8204391090509,5.0,4.08511498e-05,,minkowski,5,uniform,2.0
ordinal,lda,none,minmax,,poly,,0.310387051089,,,,,,2,minkowski,5,uniform,2.0
none,lda,selectp,none,,poly,,0.2740133801167,78,,,,,2,minkowski,5,uniform,2.0
ordinal,pca,selectp,minmax,,none,,,8,,,,,,minkowski,5,uniform,2.0
ordinal,ka_nystroem,selectp,std,840,none,sigmoid,,27,True,50.2509396969805,5.0,285.7431600441059,,minkowski,5,uniform,2.0
none,lda,selectp,minmax,,poly,,0.8742606668008,18,,,,,2,minkowski,5,uniform,2.0
none,kernel_pca,none,std,,none,poly,0.9998552897646,,True,55.9248300033907,3.0,0.0034969374815,,minkowski,5,uniform,2.0
ordinal,kernel_pca,none,minmax,,none,rbf,0.0894819869943,,,,,290.8581740324238,,minkowski,5,uniform,2.0
onehot,kernel_pca,none,std,,none,sigmoid,0.1516476374761,,False,70.473219441667,5.0,0.0244408326584,,minkowski,5,uniform,2.0
onehot,ka_nystroem,none,none,89,none,sigmoid,,,,62.2968322978304,3.0,0.055581293688,,minkowski,5,uniform,2.0
onehot,fastica,none,minmax,,poly,,0.2191885428938,,,,,,2,minkowski,5,uniform,2.0
onehot,lda,none,none,,poly,,0.054480483255,,,,,,2,minkowski,5,uniform,2.0
none,ka_nystroem,selectp,minmax,384,none,sigmoid,,59,,82.4266469703229,3.0,239640.9430029363,,minkowski,5,uniform,2.0
ordinal,none,selectp,minmax,,poly,,,28,,,,,2,minkowski,5,uniform,2.0
onehot,fastica,none,none,,none,,0.9622228447535,,,,,,,minkowski,5,uniform,2.0
onehot,ka_rbf,none,std,435,none,,,,False,,,9.9461668798959,,minkowski,5,uniform,2.0
onehot,kernel_pca,none,none,,none,rbf,0.0744672959196,,,,,0.4793234837481,,minkowski,5,uniform,2.0
ordinal,pca,selectp,minmax,,none,,,76,,,,,,minkowski,5,uniform,2.0
none,fastica,selectp,std,,poly,,0.5741358708042,38,True,,,,2,minkowski,5,uniform,2.0
ordinal,agglomerator,none,std,,poly,,0.1598717943252,,True,,,,2,minkowski,5,uniform,2.0
onehot,ka_nystroem,none,none,175,none,sigmoid,,,,78.4058614467154,2.0,21.1776038570078,,minkowski,5,uniform,2.0
onehot,pca,selectp,none,,none,,,21,,,,,,minkowski,5,uniform,2.0
onehot,agglomerator,none,std,,poly,,0.9459647606199,,False,,,,2,minkowski,5,uniform,2.0
onehot,fastica,selectp,none,,none,,0.4632568281924,57,,,,,,minkowski,5,uniform,2.0
ordinal,ka_rbf,selectp,minmax,395,none,,,62,,,,757.4516301279334,,minkowski,5,uniform,2.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,6,distance,6.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,1,distance,6.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,92,uniform,2.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,6,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,13,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,4,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,38,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,6,uniform,8.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,5,distance,4.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,4,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,35,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,71,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,4,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,81,uniform,9.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,11,distance,4.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,4,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,58,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,3,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,22,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,2,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,1,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,3,uniform,7.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,12,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,8,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,7,uniform,8.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,20,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,68,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,2,distance,5.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,5,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,5,uniform,5.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,2,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,60,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,73,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,100,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,3,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,1,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,44,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,84,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,39,uniform,3.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,50,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,19,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,7,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,8,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,22,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,40,uniform,7.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,8,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,15,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,29,distance,4.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,51,uniform,6.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,12,uniform,6.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,83,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,3,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,5,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,85,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,34,uniform,6.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,2,uniform,8.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,91,uniform,6.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,25,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,40,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,1,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,28,distance,9.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,9,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,39,uniform,6.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,27,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,2,uniform,7.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,69,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,14,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,37,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,88,distance,10.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,29,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,16,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,80,uniform,4.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,26,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,8,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,4,distance,2.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,2,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,56,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,28,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,91,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,84,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,15,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,23,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,3,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,3,uniform,9.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,76,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,2,uniform,6.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,33,uniform,3.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,15,distance,9.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,34,distance,2.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,51,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,82,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,83,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,26,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,3,uniform,4.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,29,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,76,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,1,distance,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,12,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,8,distance,8.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,1,uniform,10.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,minkowski,20,distance,1.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,cosine,56,uniform,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,nan_euclidean,11,uniform,
