pp@cat_encoder,pp@decomposition,pp@featureselector,pp@scaler,pp@feature_map_size,pp@featuregen,pp@kernel_mapper_kernel,pp@projection_features,pp@selectp_percentile,pp@std_with_std,pp@kernel_mapper_coef0,pp@kernel_mapper_degree,pp@kernel_mapper_gamma,pp@poly_degree,bootstrap,criterion,max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,n_estimators,splitter,max_samples
onehot,ka_nystroem,none,std,756,none,poly,,,True,33.015614794079,4.0,7058.325475854944,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,fastica,none,std,,none,,0.8921516912112,,False,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,pca,none,std,,none,,,,False,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,none,none,none,,poly,,,,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,agglomerator,selectp,minmax,,none,,0.4044473890132,7,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,kernel_pca,none,std,,none,rbf,0.4482412680926,,False,,,8693.671880939788,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,kernel_pca,none,minmax,,none,cosine,0.8266122677632,,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,lda,selectp,minmax,,none,,0.2883086773063,4,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,none,selectp,minmax,,poly,,,60,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,kernel_pca,selectp,minmax,,none,cosine,0.8276030239124,5,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,ka_nystroem,selectp,minmax,413,none,sigmoid,,1,,93.913050506646,3.0,133.6013044988694,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,ka_rbf,none,none,968,none,,,,,,,2.84405167e-05,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,fastica,selectp,none,,poly,,0.2601903128978,39,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,fastica,none,none,,none,,0.5529882552811,,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,pca,selectp,minmax,,none,,,21,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,ka_nystroem,selectp,none,51,none,cosine,,71,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,ka_rbf,none,minmax,392,none,,,,,,,62655.73885788832,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,gini,63,log2,0.218413381832,19,3,2048,best,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,True,gini,91,sqrt,0.6834894396717,14,39,2048,random,0.5850782010255
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,True,entropy,62,sqrt,0.9830597536487,19,2,2048,random,0.3042453018031
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,True,gini,57,sqrt,0.92611820963,13,25,2048,random,0.3306309228854
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,True,entropy,37,all,0.234963886129,10,15,2048,random,0.8980156379345
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,gini,45,log2,0.9776409702321,23,10,2048,best,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,log_loss,21,log2,0.8301481798868,9,22,2048,best,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,entropy,69,all,0.9666516742689,2,20,2048,best,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,gini,49,log2,0.9747030214467,18,18,2048,best,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,gini,25,log2,0.4657315582504,18,15,2048,best,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,gini,12,sqrt,0.6266754492304,16,10,2048,random,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,True,log_loss,52,sqrt,0.2662897021927,17,8,2048,random,0.9161348573667
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,entropy,70,sqrt,0.2086395199642,18,29,2048,best,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,entropy,47,all,0.4484068166617,8,39,2048,random,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,entropy,73,sqrt,0.250621428967,17,37,2048,best,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,gini,10,log2,0.8526093568201,23,42,2048,best,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,True,entropy,72,all,0.0584638786841,6,28,2048,best,0.3633302418591
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,True,entropy,90,log2,0.289153373799,10,32,2048,random,0.7769729193777
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,True,gini,16,all,0.1776517373,15,14,2048,best,0.9670385184064
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,True,gini,95,log2,0.0985779099262,13,47,2048,best,0.3881796062501
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,gini,94,all,0.5097985899709,25,18,2048,best,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,True,entropy,80,log2,0.1699286621186,22,11,2048,random,0.8287421148871
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,gini,95,all,0.7687722230538,6,44,2048,best,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,log_loss,64,all,0.9668005974516,20,43,2048,random,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,True,gini,67,all,0.93456037453,1,43,2048,best,0.4771273191202
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,True,gini,97,sqrt,0.9215475478122,18,41,2048,random,0.9373562450273
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,gini,31,sqrt,0.0078102154057,24,28,2048,best,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,True,gini,70,sqrt,0.5890134889853,15,44,2048,random,0.0102378598725
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,gini,52,all,0.256632616639,21,13,2048,random,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,gini,64,log2,0.5646472143099,5,9,2048,best,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,True,log_loss,8,log2,0.3180302891606,5,29,2048,random,0.9843174259429
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,log_loss,24,all,0.1536665427726,13,34,2048,best,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,entropy,70,log2,0.4444937233583,13,32,2048,random,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,log_loss,75,log2,0.4950963271764,5,24,2048,random,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,True,gini,68,log2,0.9897655068476,16,31,2048,best,0.2938941032828
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,True,log_loss,62,sqrt,0.0423878841385,6,34,2048,best,0.3169756718708
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,gini,71,log2,0.3011551988973,23,4,2048,random,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,True,gini,25,sqrt,0.8518938450883,25,24,2048,best,0.2004731610963
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,log_loss,51,all,0.659695498126,14,49,2048,random,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,gini,42,all,0.8266830318459,21,42,2048,best,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,True,gini,5,log2,0.6602909185598,21,49,2048,random,0.9699411149233
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,gini,37,sqrt,0.7595363091461,8,26,2048,random,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,True,gini,4,sqrt,0.4929217499971,15,16,2048,random,0.1859968193008
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,False,gini,62,all,0.2048776928976,24,4,2048,best,
