pp@cat_encoder,pp@decomposition,pp@featureselector,pp@scaler,pp@feature_map_size,pp@featuregen,pp@kernel_mapper_kernel,pp@projection_features,pp@selectp_percentile,pp@std_with_std,pp@kernel_mapper_coef0,pp@kernel_mapper_degree,pp@kernel_mapper_gamma,pp@poly_degree,C,class_weight,dual,fit_intercept,intercept_scaling,loss,max_iter,multi_class,penalty,tol
onehot,ka_nystroem,selectp,std,866,none,sigmoid,,13,False,37.0195245218362,2.0,19.3399423649835,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,pca,none,minmax,,none,,,,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,ka_rbf,selectp,minmax,768,none,,,79,,,,3.6830627845104,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,fastica,none,none,,none,,0.7802584584555,,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,kernel_pca,selectp,none,,none,rbf,0.8769353475326,47,,,,37.0644818079862,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,none,selectp,std,,none,,,77,True,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,pca,none,none,,none,,,,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,fastica,none,std,,poly,,0.6419792660507,,False,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,ka_nystroem,none,minmax,153,none,cosine,,,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,ka_rbf,selectp,minmax,467,none,,,33,,,,79.8971343078893,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,ka_rbf,none,minmax,662,none,,,,,,,0.2916059570936,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,kernel_pca,selectp,std,,none,poly,0.0872128896971,23,False,76.3927545791018,2.0,0.0630014516317,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,fastica,none,minmax,,none,,0.0759303689132,,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,fastica,selectp,minmax,,none,,0.2436106813892,92,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,fastica,none,std,,poly,,0.1615659278674,,True,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,kernel_pca,selectp,std,,none,sigmoid,0.2478893968299,10,True,19.7441309726144,5.0,9674.200214971721,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,lda,selectp,std,,none,,0.7655088279522,53,True,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,lda,selectp,std,,none,,0.8714803567221,44,False,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,ka_nystroem,selectp,none,387,none,sigmoid,,82,,98.0375079229657,5.0,0.0002915274752,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,lda,none,minmax,,poly,,0.4616602769419,,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,ka_nystroem,none,std,518,none,rbf,,,False,,,2.4798987400197,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,none,none,std,,none,,,,False,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,none,none,minmax,,none,,,,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,ka_nystroem,none,minmax,301,none,sigmoid,,,,95.4400880569827,4.0,5.5244799652967,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,kernel_pca,selectp,none,,none,poly,0.4369452683735,99,,14.8958651134358,4.0,110832.09683030158,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,ka_rbf,none,minmax,237,none,,,,,,,0.0006488810918,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,lda,selectp,std,,poly,,0.8301956856127,88,False,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,pca,selectp,none,,none,,,71,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,fastica,none,std,,poly,,0.2517154634985,,True,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,fastica,selectp,minmax,,poly,,0.7697911054541,66,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,kernel_pca,none,none,,none,cosine,0.9830972132159,,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,none,none,std,,poly,,,,True,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,none,selectp,std,,none,,,2,False,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,agglomerator,none,std,,poly,,0.7721727995224,,False,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,ka_nystroem,none,none,727,none,sigmoid,,,,76.1330276012799,3.0,3659.4777813551896,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,lda,none,minmax,,none,,0.4217937814835,,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,fastica,selectp,std,,none,,0.8466268510051,87,True,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,ka_nystroem,selectp,std,948,none,sigmoid,,2,True,42.188213601046,3.0,18525.001730340675,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,fastica,none,std,,none,,0.2143868971339,,True,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,agglomerator,none,std,,poly,,0.7454693091599,,True,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,lda,none,std,,poly,,0.2040407467379,,False,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,kernel_pca,selectp,none,,none,cosine,0.1809697192935,10,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,ka_rbf,none,none,493,none,,,,,,,4.4302604e-06,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,kernel_pca,none,minmax,,none,cosine,0.0343026353587,,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,agglomerator,none,std,,poly,,0.3944498348097,,False,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,fastica,selectp,std,,none,,0.6500296913378,72,True,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,pca,none,std,,none,,,,False,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,pca,selectp,none,,none,,,61,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,agglomerator,none,none,,poly,,0.5841527242157,,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,fastica,selectp,minmax,,poly,,0.6241594710552,27,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,ka_nystroem,none,minmax,39,none,rbf,,,,,,2.9724144959681,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,fastica,none,minmax,,poly,,0.7373935399603,,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,none,selectp,std,,poly,,,10,False,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,ka_nystroem,none,minmax,866,none,poly,,,,24.9071110160877,3.0,0.0491187902308,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,fastica,none,minmax,,poly,,0.3978747858185,,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,fastica,none,none,,none,,0.0885549971912,,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,none,selectp,minmax,,poly,,,27,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,none,selectp,none,,none,,,79,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,ka_rbf,none,none,65,none,,,,,,,0.0146085164089,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,kernel_pca,none,minmax,,none,sigmoid,0.6267589596825,,,26.8167896299574,2.0,39.0634359601604,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,none,selectp,std,,none,,,22,True,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,lda,selectp,minmax,,poly,,0.6301166102812,67,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,ka_nystroem,none,minmax,524,none,rbf,,,,,,7.3345273110422,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,kernel_pca,none,none,,none,poly,0.4782497422405,,,98.6367585635185,3.0,1.8680571654589,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,kernel_pca,selectp,std,,none,sigmoid,0.3327138217237,23,True,82.6113660191025,3.0,462.9718597162717,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,ka_rbf,none,minmax,239,none,,,,,,,1.0355670135736,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,ka_rbf,selectp,std,125,none,,,20,False,,,1.40740908e-05,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,ka_nystroem,none,minmax,39,none,rbf,,,,,,0.0014139646141,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,none,selectp,none,,none,,,89,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,lda,none,minmax,,none,,0.4155800578036,,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,ka_rbf,selectp,none,708,none,,,45,,,,0.009658111138,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,fastica,none,minmax,,none,,0.7669660436824,,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,pca,selectp,std,,none,,,39,True,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,fastica,none,none,,none,,0.1695055196359,,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,ka_rbf,selectp,std,286,none,,,69,False,,,0.0006177237425,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,lda,selectp,minmax,,poly,,0.5776644372627,23,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,agglomerator,none,none,,poly,,0.3948282802886,,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,none,selectp,none,,poly,,,33,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,pca,none,none,,none,,,,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,ka_nystroem,none,std,196,none,poly,,,False,83.8401921394065,2.0,6.0660633894238,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,none,selectp,std,,poly,,,4,True,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,none,none,std,,none,,,,True,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,agglomerator,selectp,std,,none,,0.4320454599461,36,False,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,lda,selectp,minmax,,none,,0.6395438915271,18,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,agglomerator,none,std,,none,,0.5381225909793,,False,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,kernel_pca,selectp,none,,none,sigmoid,0.084090230863,73,,66.3866724108754,2.0,0.0913316867647,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,ka_rbf,selectp,std,243,none,,,16,False,,,7.53357386e-05,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,ka_rbf,none,std,375,none,,,,False,,,1.8389882700719,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,fastica,none,none,,none,,0.6996148094361,,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,pca,selectp,none,,none,,,45,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,pca,selectp,none,,none,,,4,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,ka_nystroem,selectp,std,378,none,rbf,,26,True,,,1.4903591536425,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,fastica,selectp,none,,poly,,0.9431772621938,91,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,kernel_pca,selectp,std,,none,rbf,0.728746664318,41,True,,,0.1565986002714,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,agglomerator,selectp,minmax,,poly,,0.3451571918235,1,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,ka_rbf,selectp,std,905,none,,,60,True,,,0.0006709346851,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,lda,selectp,none,,poly,,0.578622950124,28,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,ka_nystroem,selectp,none,72,none,sigmoid,,71,,81.1244836951103,5.0,5606.716952736461,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,lda,none,std,,poly,,0.1047511672343,,True,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,ka_nystroem,selectp,none,775,none,rbf,,4,,,,354491.56226119783,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,fastica,selectp,none,,poly,,0.3977503382845,50,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,ka_nystroem,none,std,560,none,cosine,,,False,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,pca,selectp,none,,none,,,10,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,ka_rbf,selectp,none,569,none,,,100,,,,43.7820534404071,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,agglomerator,selectp,minmax,,poly,,0.3530579333445,2,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,kernel_pca,selectp,std,,none,rbf,0.5075545634526,87,False,,,75394.48355498261,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,ka_rbf,none,std,302,none,,,,True,,,2.8813704611365,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,pca,selectp,minmax,,none,,,56,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,fastica,selectp,none,,poly,,0.0248127993718,67,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,fastica,selectp,minmax,,poly,,0.6061117048966,91,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,agglomerator,none,std,,none,,0.8044015751441,,True,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,agglomerator,none,std,,none,,0.7092816096729,,True,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,ka_nystroem,selectp,std,503,none,poly,,59,False,62.5805969220872,4.0,151.7124500708418,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,ka_nystroem,none,minmax,445,none,cosine,,,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,fastica,none,none,,poly,,0.069522547621,,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,agglomerator,none,minmax,,poly,,0.3621069084524,,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,lda,none,std,,poly,,0.8106796046047,,True,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,none,selectp,minmax,,poly,,,9,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,fastica,none,none,,poly,,0.8352537082935,,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,fastica,none,minmax,,poly,,0.22877293454,,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,none,none,none,,poly,,,,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,fastica,selectp,std,,none,,0.9964850378309,63,False,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,kernel_pca,none,minmax,,none,sigmoid,0.1536547378452,,,86.3172342953253,3.0,0.500559529721,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,ka_nystroem,selectp,minmax,838,none,cosine,,7,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,ka_rbf,selectp,std,171,none,,,64,False,,,0.0022229747328,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,agglomerator,selectp,std,,none,,0.5609520395117,72,True,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,ka_nystroem,none,none,821,none,rbf,,,,,,0.0010522856679,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,kernel_pca,selectp,minmax,,none,cosine,0.6657112589669,67,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,ka_rbf,selectp,minmax,799,none,,,27,,,,3616.5848189966146,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,none,none,minmax,,poly,,,,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,agglomerator,none,none,,none,,0.7626687987274,,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,ka_nystroem,selectp,none,705,none,rbf,,49,,,,0.000633227406,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,ka_rbf,selectp,std,702,none,,,24,True,,,513.8268648329041,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,lda,none,none,,none,,0.0997523368431,,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,fastica,selectp,none,,poly,,0.7661986154682,2,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,lda,selectp,minmax,,none,,0.8917848788442,52,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,kernel_pca,selectp,none,,none,sigmoid,0.9330906143596,46,,39.079120204041,2.0,651485.0681427119,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,ka_rbf,selectp,std,379,none,,,39,False,,,0.0001953171477,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,ka_nystroem,none,std,914,none,poly,,,False,6.7980934925929,3.0,5.5828751254539,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,none,selectp,minmax,,poly,,,6,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,kernel_pca,none,none,,none,rbf,0.9806062727358,,,,,100.5445301992466,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,lda,none,none,,poly,,0.149020222455,,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,6447.805678064535,balanced,True,True,13.9801282347398,hinge,698,ovo-scikit,l2,0.1943238312414
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.0037904732567,none,True,False,7.9607654045139,squared_hinge,2249,ovo-scikit,l2,8.30798678e-05
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,10.1569329078727,none,False,True,133.7929615920598,squared_hinge,617,ovo-scikit,l1,1.6479573893642
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,1.4943e-09,balanced,True,False,677.8236404369494,squared_hinge,4915,ovo-scikit,l2,0.0010757961682
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,892924.8018408853,balanced,False,True,165.2478026932615,squared_hinge,300,ovr,l1,0.0272869737728
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,396745173588.1053,balanced,False,True,227.325075771595,squared_hinge,126,ovo-scikit,l1,0.0004927553639
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,194.8403025471224,none,False,False,66.9943871291795,squared_hinge,357,ovo-scikit,l2,0.0393437331125
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,5.47e-11,balanced,False,False,5.2705645111226,squared_hinge,225,ovr,l2,0.0731516189257
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,3.03e-11,balanced,False,True,2.6977647338649,squared_hinge,113,ovr,l1,0.273559344463
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,3.54108807e-05,balanced,True,False,153.930574944594,squared_hinge,406,ovo-scikit,l2,0.0053561168756
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.001384259301,balanced,False,True,5.5671121812198,squared_hinge,1100,ovo-scikit,l2,0.0792156059824
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,1.2e-12,none,False,True,6.7992943024232,squared_hinge,1998,ovr,l1,6.55530499e-05
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,167644641.0137566,balanced,False,True,85.9906567981254,squared_hinge,569,ovo-scikit,l1,0.0385246000922
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,788831727400.4032,balanced,True,False,37.7604158303103,hinge,1376,ovo-scikit,l2,0.259195885088
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,1.0438338769289,balanced,True,True,1.2677321096808,hinge,2454,ovr,l2,0.0010289105762
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,1120.4566648246391,none,False,True,281.069501834387,squared_hinge,5176,ovr,l2,0.6462843723954
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,3.54199531e-05,none,True,True,106.0914190202478,squared_hinge,337,ovo-scikit,l2,0.0001399060756
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,1.90786001e-05,balanced,True,False,169.3599401042824,hinge,1014,ovr,l2,0.0056991173328
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,1.3333e-09,none,False,False,2.4319675920993,squared_hinge,948,ovr,l1,0.076693429333
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,9.12e-11,none,True,True,2.495170626297,hinge,2359,ovo-scikit,l2,0.0004801417278
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,5.26485092e-05,balanced,False,False,165.1605578167671,squared_hinge,4077,ovo-scikit,l1,1.5454524921936
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,9392907.592947163,balanced,False,True,254.1051135385636,squared_hinge,118,ovo-scikit,l1,0.1202071273518
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,0.0014278899301,balanced,False,False,43.962401483374,squared_hinge,597,ovo-scikit,l1,0.0030513001919
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,4324015523.186846,balanced,True,True,2.643223370914,squared_hinge,1639,ovo-scikit,l2,0.0092411167488
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,7.688e-10,balanced,False,True,159.2194138909986,squared_hinge,5424,ovr,l2,0.0004023537247
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,1.126170357832,none,False,False,138.2338997662582,squared_hinge,142,ovr,l2,4.68437887e-05
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,948147.549845341,none,False,False,1.2962266986919,squared_hinge,386,ovr,l1,1.5046078753676
