pp@cat_encoder,pp@decomposition,pp@featureselector,pp@scaler,pp@feature_map_size,pp@featuregen,pp@kernel_mapper_kernel,pp@projection_features,pp@selectp_percentile,pp@std_with_std,pp@kernel_mapper_coef0,pp@kernel_mapper_degree,pp@kernel_mapper_gamma,pp@poly_degree,activation,activity_regularizer,batch_norm,batch_size,bias_regularizer,data_augmentation,dropout_rate,kernel_initializer,kernel_regularizer,learning_rate,learning_rate_scheduler,learning_rate_scheduler_polynomial_power,lookahead,lookahead_learning_rate,lookahead_num_steps,num_layers,num_units_first,num_units_last,optimizer,regularizer_factor,shake_shake,shuffle_each_epoch,skip_co,snapshot_ensemble,weight_averaging,anti_grad_var_rate,anti_momentum_rate,data_augmentation_cutout_patch_ratio,learning_rate_scheduler_cosine_alpha,learning_rate_scheduler_cosine_restarts_mmul,learning_rate_scheduler_cosine_restarts_tmul,learning_rate_scheduler_decay_rate,learning_rate_scheduler_decay_steps,learning_rate_scheduler_polynomial_end_learning_rate,shake_drop,snapshot_ensemble_period_increase,snapshot_ensemble_period_init,snapshot_ensemble_reset_weights,weight_averaging_cycle_length,shake_drop_drop_proba
ordinal,agglomerator,none,minmax,,none,,0.6002490091591,,,,,,,relu,none,off,32,none,none,0.1,glorot_uniform,none,0.0001,none,1.0,False,0.2,5,9,512,512,SGD,0.01,False,True,True,False,False,0.0001,0.01,0.1,0.0,1.0,2.0,0.9,1000.0,1e-05,False,0.0,20.0,False,5.0,0.5
none,ka_nystroem,none,std,464,none,rbf,,,True,,,1.9507711524673,,relu,none,off,32,none,none,0.1,glorot_uniform,none,0.0001,none,1.0,False,0.2,5,9,512,512,SGD,0.01,False,True,True,False,False,0.0001,0.01,0.1,0.0,1.0,2.0,0.9,1000.0,1e-05,False,0.0,20.0,False,5.0,0.5
none,pca,selectp,std,,none,,,6,True,,,,,relu,none,off,32,none,none,0.1,glorot_uniform,none,0.0001,none,1.0,False,0.2,5,9,512,512,SGD,0.01,False,True,True,False,False,0.0001,0.01,0.1,0.0,1.0,2.0,0.9,1000.0,1e-05,False,0.0,20.0,False,5.0,0.5
onehot,agglomerator,none,std,,poly,,0.219418558749,,False,,,,2,relu,none,off,32,none,none,0.1,glorot_uniform,none,0.0001,none,1.0,False,0.2,5,9,512,512,SGD,0.01,False,True,True,False,False,0.0001,0.01,0.1,0.0,1.0,2.0,0.9,1000.0,1e-05,False,0.0,20.0,False,5.0,0.5
onehot,fastica,none,std,,poly,,0.7673445030904,,False,,,,2,relu,none,off,32,none,none,0.1,glorot_uniform,none,0.0001,none,1.0,False,0.2,5,9,512,512,SGD,0.01,False,True,True,False,False,0.0001,0.01,0.1,0.0,1.0,2.0,0.9,1000.0,1e-05,False,0.0,20.0,False,5.0,0.5
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,selu,none,off,1,L2,cutout,0.5992732058033,he_normal,L1L2,5.51243e-06,InverseTimeDecay,1.6606207520745,False,0.2791112228978,4,9,3194,15,Adam,0.6908937254228,True,False,True,False,False,0.0022006177988,0.0002416818815,0.2380435236385,,,,0.912495325909,1.0,,True,,,,,0.3120317586916
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,gelu,L2,after_activation,2,none,mixup,0.4655776654821,variance_scaling,none,4.5359501955817,ReduceLROnPlateau,1.0998544486021,False,0.6247504776053,6,2,1,3116,Adamax,0.0994163943614,True,False,True,True,False,0.0047197588493,0.0002245570345,,,,,0.8820391362488,808705.0,,True,2.0,13.0,True,,0.1529195696936
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,sigmoid,none,before_activation,47,L1,none,0.3816800895923,glorot_normal,L1,4.30468908e-05,CosineDecayRestarts,2.6920981263057,False,0.6254432681391,7,6,1614,4,Adadelta,0.2897758759206,False,False,True,False,True,0.0004281755571,,,0.4746679880301,1.3959544092862,0.9968287399797,,488.0,,False,,,,17.0,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,tanh,none,before_activation,1,L2,cutout,0.4463732658361,glorot_normal,L2,0.4157621783579,none,2.9420783732774,False,0.7372070683516,2,7,34,1,Adamax,0.2885699576517,False,False,True,False,False,0.0055175258442,0.0229303177412,0.8822836719191,,,,,,,True,,,,,0.6645680351917
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,relu,L1,before_activation,267,L1,cutout,0.6135659505624,glorot_normal,L1L2,0.7153987753514,ReduceLROnPlateau,1.8530736693643,False,0.2390494888658,4,13,1108,34,Adam,0.8743999170748,True,True,False,True,False,0.0310579015151,0.002399888416,0.7332891343167,,,,0.9708026075231,396.0,,,0.0,73.0,False,,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,gelu,none,after_activation,11,L2,none,0.2496062441747,glorot_uniform,none,0.0008071599912,ExponentialDecay,2.0379308360663,False,0.6112864286111,3,16,901,2,Nadam,0.1124273172123,False,True,True,False,True,0.0011530478395,0.000372321065,,,,,0.8352484005294,139.0,,True,,,,91.0,0.3486719817147
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,softplus,L2,off,240,none,mixup,0.4719418299695,random_normal,none,0.0008114426421,none,1.2840492479532,False,0.338642030559,6,11,2,112,AdamW,0.212434361294,False,False,True,False,True,0.0860703527141,0.0002258946194,,,,,,,,False,,,,81.0,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,none,L1L2,before_activation,74,L1,none,0.1056422647535,he_uniform,L1,3.6001430477831,InverseTimeDecay,2.102830199953,True,0.5233211020371,8,3,3,7,Adadelta,0.1830332920799,True,True,False,False,True,1.63023908e-05,,,,,,0.8619912302034,24573.0,,,,,,47.0,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,softplus,none,off,474,none,none,0.1438607581688,he_normal,L2,0.1135764177864,CosineDecay,1.8439778229433,False,0.6638209857019,2,9,12,142,Nadam,0.4030260024043,False,False,False,True,False,0.0001818538515,0.0036463568131,,0.1770057815675,,,,23189.0,,,0.0,41.0,False,,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,tanh,none,off,110,none,cutout,0.0651153315772,truncated_normal,L1L2,0.0040267104482,none,2.5517504384669,False,0.3382470209793,7,5,6,44,Adam,0.6444791031251,False,False,True,False,True,0.0001388332706,0.000586664181,0.7049480619228,,,,,,,False,,,,62.0,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,relu,L1,after_activation,43,none,none,0.2521023734753,he_normal,none,1.1689158e-06,ExponentialDecay,0.8773554363643,False,0.2708760210049,3,19,2786,1,AdamW,0.2512119615032,False,False,False,True,True,1.14314508e-05,0.0010602209145,,,,,0.947155181428,1.0,,,2.0,87.0,False,55.0,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,relu,none,before_activation,22,L2,mixup,0.8123221863906,he_normal,L1L2,9.005318e-06,CosineDecay,2.382308750008,True,0.2244261574972,8,19,126,30,Adagrad,0.4502244692295,True,False,False,True,False,,,,0.9655166391375,,,,16037.0,,,2.0,3.0,True,,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,tanh,L2,off,2,L1L2,cutout,0.3006161537681,random_uniform,L1L2,0.0963682642606,PolynomialDecay,0.3328621237468,False,0.487824292013,7,11,2,58,Adadelta,0.2883005533694,False,False,True,True,False,0.0001263435614,,0.0113551285122,,,,,301791.0,0.0004519241539,True,1.0,11.0,True,,0.4176206658261
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,elu,L1L2,off,133,L1,cutout,0.8730702925119,truncated_normal,L1L2,0.0136773779946,ExponentialDecay,1.1716397513798,True,0.5527802750936,6,12,10,7,SGD,0.921192208419,False,True,True,False,True,,0.0069525460058,0.5112217875737,,,,0.9636133715325,1404.0,,False,,,,20.0,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,selu,L2,before_activation,1,L2,mixup,0.3269015657239,orthogonal,L1L2,8.888716e-06,ReduceLROnPlateau,2.5330377757962,True,0.5362703532259,5,13,96,889,Ftrl,0.7014407515873,True,True,False,True,True,,,,,,,0.9282739236259,6.0,,,3.0,43.0,False,48.0,
ordinal,none,none,none,1,none,cosine,0.1,100,True,0.0,2.0,1.0,2,relu,L1L2,before_activation,1,none,cutout,0.2220951629373,orthogonal,L1,0.1101186725702,ExponentialDecay,2.2412489730159,True,0.6009309377257,3,14,881,826,Adadelta,0.6244974764053,False,True,True,True,True,0.0005030744624,,0.4598752073945,,,,0.8040581497583,96.0,,False,1.0,43.0,False,16.0,
ordinal,none,selectp,std,,poly,,,84,False,,,,2,softmax,L1,after_activation,271,L1L2,mixup,0.4442315433142,random_uniform,none,3.0044513570233,PolynomialDecay,1.1730867915124,True,0.3720300098242,9,8,2,1,RMSprop,0.03558180231,False,False,False,True,True,0.1286730629204,0.0195020260904,,,,,,2.0,1.40699534e-05,,5.0,25.0,True,37.0,
ordinal,kernel_pca,none,none,,none,rbf,0.2599484666201,,,,,2.4425526795562,,softsign,none,before_activation,2,L1,cutmix,0.1370547953073,he_normal,L1L2,0.0449426944101,none,2.1216436077723,True,0.2116774803856,7,16,783,184,RMSprop,0.3881690830118,True,True,False,True,False,0.0037443370144,0.1058929177752,,,,,,,,,1.0,54.0,True,,
none,kernel_pca,selectp,none,,none,poly,0.6525412775987,75,,22.1329751617309,4.0,274.3267713707172,,softmax,L1,before_activation,41,L1L2,mixup,0.5552464591662,he_uniform,none,0.0009149157021,CosineDecay,2.1176144275524,True,0.4395334301947,7,15,1,65,SGD,0.5556790388062,False,True,True,True,False,,0.0007181456352,,0.4299967804707,,,,83.0,,False,5.0,25.0,False,,
none,pca,selectp,minmax,,none,,,12,,,,,,softsign,none,off,1,L2,mixup,0.7175635778453,glorot_uniform,L1,3.4595964e-05,ReduceLROnPlateau,2.0429695953646,False,0.7409902615804,2,17,67,3034,AdamW,0.6573010109076,False,True,True,False,True,0.0392770329818,0.0101280411311,,,,,0.8110027626103,609821.0,,False,,,,70.0,
onehot,ka_nystroem,none,std,376,none,rbf,,,True,,,7587.330312182297,,tanh,L1,before_activation,2,L1,mixup,0.7033414653985,glorot_uniform,none,8.31897706e-05,ReduceLROnPlateau,1.2311127838814,True,0.5853402225083,5,12,3,12,SGD,0.9454189501212,False,True,False,False,False,,0.0054735573695,,,,,0.855363875902,1545.0,,,,,,,
ordinal,agglomerator,selectp,minmax,,none,,0.1236196890514,11,,,,,,softmax,L2,off,159,L1L2,mixup,0.5127354377673,random_uniform,none,0.081824503851,ReduceLROnPlateau,0.5729902245214,False,0.6583212343641,7,12,27,9,RMSprop,0.4578351799923,False,True,False,True,False,0.0616619281894,0.0059672626392,,,,,0.8072284894917,64924.0,,,3.0,89.0,False,,
none,pca,selectp,std,,none,,,21,False,,,,,tanh,L1,off,1,L2,cutout,0.6541659265562,glorot_normal,L1,1.6268571e-06,InverseTimeDecay,1.1596231289987,False,0.3875065936985,7,13,3,610,Adam,0.512488376059,False,False,False,True,True,0.0874068871061,0.1245242684406,0.8174532636182,,,,0.9817433798908,176.0,,,1.0,72.0,True,77.0,
onehot,agglomerator,none,std,,poly,,0.7981559376082,,False,,,,2,gelu,L1,after_activation,411,L1L2,cutmix,0.4114346619668,he_normal,L1L2,1.2978843488315,none,0.7539837186616,True,0.2936589653222,9,3,2,81,Adam,0.9085383186874,False,True,False,True,True,0.0001472140995,0.0010172719322,,,,,,,,,0.0,42.0,False,19.0,
ordinal,none,selectp,none,,poly,,,24,,,,,2,softmax,L1,before_activation,1,L1L2,none,0.0617371512785,random_uniform,L2,0.1815874560578,CosineDecayRestarts,1.8841363488027,True,0.406072282181,5,4,402,27,Nadam,0.2737326293885,False,True,True,False,True,0.0067047657243,0.0006293509133,,0.6484968937587,1.4027038620575,1.8065702776784,,2149.0,,True,,,,36.0,0.767669105577
none,fastica,none,none,,none,,0.5202787558195,,,,,,,elu,L1L2,before_activation,8,L1L2,mixup,0.206016839752,glorot_uniform,L2,0.3064412594823,InverseTimeDecay,1.8880257103262,False,0.5175861273651,2,5,637,24,Adagrad,0.4620975296274,False,True,False,True,True,,,,,,,0.8078482059108,349629.0,,,5.0,77.0,False,53.0,
ordinal,pca,none,std,,none,,,,True,,,,,selu,none,before_activation,310,L2,cutout,0.3221855431751,orthogonal,none,0.0005795195186,ExponentialDecay,0.392521008951,True,0.5735393125502,8,13,447,1,Adamax,0.6383628950007,False,True,False,False,False,1.23936356e-05,0.064050094954,0.0951234367132,,,,0.8009020258217,1.0,,,,,,,
ordinal,agglomerator,selectp,minmax,,none,,0.2389424034499,60,,,,,,softsign,L2,off,401,L2,none,0.3916277878647,he_normal,L1L2,0.1609014990135,PolynomialDecay,2.9960217598126,False,0.3617604156702,2,18,3,716,Adagrad,0.1017702665445,True,True,True,False,False,,,,,,,,408.0,0.0001976109803,True,,,,,0.8126114771601
ordinal,none,none,minmax,,none,,,,,,,,,tanh,L1L2,before_activation,54,L1L2,mixup,0.5318340529802,truncated_normal,L1L2,0.0005308960861,PolynomialDecay,0.6552551928886,False,0.3567020746189,9,9,43,1,Nadam,0.6730101338348,False,False,False,False,False,0.1162225504526,0.0016813385599,,,,,,10136.0,5.5315298e-06,,,,,,
onehot,pca,none,none,,none,,,,,,,,,gelu,L2,after_activation,137,L1,cutout,0.429121227536,truncated_normal,L2,0.0064187505569,ReduceLROnPlateau,0.5643898180831,False,0.6492333838452,8,16,6,3401,Adam,0.4301808576391,True,True,False,False,False,2.51818843e-05,0.0311220871097,0.0524971883555,,,,0.9277318366798,72.0,,,,,,,
ordinal,ka_rbf,selectp,none,360,none,,,76,,,,23.8315893828295,,selu,L1,off,5,L2,cutout,0.5596941522549,glorot_normal,L1,7.1659167896834,CosineDecayRestarts,2.4055215877894,False,0.5366725564579,4,13,294,997,Adamax,0.9090927570286,True,False,True,False,True,0.0211944976808,0.0002436065081,0.2261431027514,0.9865937650813,1.0959020634492,2.3971053402732,,4.0,,True,,,,27.0,0.2480931111034
onehot,ka_rbf,selectp,std,809,none,,,77,True,,,215203.56310907035,,sigmoid,L1,after_activation,253,none,cutmix,0.4758673605295,truncated_normal,none,3.2225559e-06,ReduceLROnPlateau,2.0606477557589,True,0.7019283083715,3,10,3558,3104,Adamax,0.1873609014263,False,False,True,True,True,0.0015289027901,0.0014997250076,,,,,0.875781030088,1.0,,True,0.0,84.0,True,95.0,0.1049627317675
none,ka_nystroem,selectp,minmax,41,none,sigmoid,,92,,18.8781915783808,4.0,8.37758883e-05,,tanh,none,off,2,none,none,0.4224459196306,random_uniform,L2,0.2326403846225,CosineDecayRestarts,2.5706771236611,True,0.3668301429807,7,4,2216,3319,RMSprop,0.697728401785,True,False,False,True,True,3.03234491e-05,0.0001870651179,,0.9151448025867,1.8980850942453,0.4312161381709,,211640.0,,,5.0,82.0,True,77.0,
onehot,none,selectp,none,,poly,,,48,,,,,2,gelu,none,off,63,L1,cutout,0.6835052263119,he_normal,L1L2,7.32137651e-05,InverseTimeDecay,2.6738598018114,False,0.5281700371067,8,10,7,48,SGD,0.9703753278372,True,False,True,False,True,,0.0003162979228,0.686300907425,,,,0.8196066950003,8.0,,True,,,,58.0,0.5256739273376
